take_profit_pct,stop_loss_pct,n_trades,total_pnl,win_rate,avg_pnl
40,10,27,296532.95,77.78,10982.7
40,20,27,269992.95,77.78,9999.74
30,10,27,263199.7,88.89,9748.14
40,30,27,255567.15,77.78,9465.45
40,40,27,252367.15,77.78,9346.93
40,50,27,249167.15,77.78,9228.41
30,20,27,243149.7,88.89,9005.54
30,50,27,233243.19,88.89,8638.64
30,30,27,233243.19,88.89,8638.64
30,40,27,233243.19,88.89,8638.64
20,10,27,203506.0,96.3,7537.26
20,20,27,192986.0,96.3,7147.63
20,50,27,184022.96,96.3,6815.67
20,40,27,184022.96,96.3,6815.67
20,30,27,184022.96,96.3,6815.67
50,10,27,156255.63,55.56,5787.25
10,10,27,117236.0,100.0,4342.07
10,20,27,117236.0,100.0,4342.07
10,30,27,117236.0,100.0,4342.07
10,40,27,117236.0,100.0,4342.07
10,50,27,117236.0,100.0,4342.07
50,20,27,107997.53,55.56,3999.91
50,30,27,88574.85,55.56,3280.55
50,40,27,83715.17,55.56,3100.56
50,50,27,80515.17,55.56,2982.04
