event_date,reaction_date,speaker,event_type,description,hawkish_score,surprise_score,prev_close,open,high,low,close,gap_yen,intraday_move,reversion_pct,max_reversion_pct,drift_2d
2024-01-31,2024-02-01,powell,FOMC,据え置き5.25-5.50%、3月利下げ否定,30.0,20,36065,36286,36452,36054,36226,221,-60,27.15,104.98,93.0
2024-03-20,2024-03-21,powell,FOMC,据え置き、年内3回利下げ見通し維持,-10.0,10,40003,40814,40888,40414,40815,811,1,-0.12,49.32,759.0
2024-05-01,2024-05-02,powell,FOMC,据え置き、QT減速発表,-15.0,15,38405,38274,38522,38217,38236,-131,-38,-29.01,189.31,
2024-07-31,2024-08-01,powell,FOMC,据え置き、9月利下げ示唆,-30.0,20,39101,39188,39188,38555,38654,87,-534,613.79,727.59,-3192.0
2024-09-18,2024-09-19,powell,FOMC,50bp利下げ（4.75-5.00%）,-50.0,40,36380,37155,37394,36915,37068,775,-87,11.23,30.97,1343.0
2024-11-07,2024-11-08,powell,FOMC,25bp利下げ（4.50-4.75%）,-20.0,5,39480,39381,39883,39221,39500,-99,119,120.2,507.07,
2024-12-18,2024-12-19,powell,FOMC,25bp利下げ、2025年利下げ回数を4→2に修正,40.0,50,39364,38813,39045,38625,38813,-551,0,-0.0,42.11,-663.0
2025-01-29,2025-01-30,powell,FOMC,据え置き4.25-4.50%,10.0,5,39414,39218,39623,39028,39513,-196,295,150.51,206.63,
2025-03-19,2025-03-20,powell,FOMC,据え置き、関税の不確実性強調,15.0,15,37269,37598,37874,37468,37677,329,79,-24.01,39.51,149.0
2025-05-07,2025-05-08,powell,FOMC,据え置き、インフレ懸念継続,20.0,10,36920,36750,37126,36655,36854,-170,104,61.18,221.18,
2025-06-18,2025-06-19,powell,FOMC,25bp利下げ（4.00-4.25%）,-25.0,25,37885,38205,38517,38102,38411,320,206,-64.38,32.19,727.0
2025-07-30,2025-07-31,powell,FOMC,据え置き3.75-4.00%,5.0,5,38651,38511,38843,38372,38589,-140,78,55.71,237.14,
2025-09-17,2025-09-18,powell,FOMC,25bp利下げ（3.50-3.75%）,-20.0,15,36916,37284,37511,37102,37411,368,127,-34.51,49.46,604.0
2026-01-28,2026-01-29,powell,FOMC,据え置き3.50-3.75%,10.0,5,39812,39612,39956,39421,39754,-200,142,71.0,172.0,
2026-03-18,2026-03-19,powell,FOMC,据え置き、ドット7人利下げゼロ、持続的インフレ脅威,45.0,55,37825,36855,37055,36631,37051,-970,196,20.21,20.62,-700.0
2024-03-19,2024-03-19,ueda,BOJ_MPM,マイナス金利解除（-0.1%→0-0.1%）、YCC撤廃,50.0,30,39740,39441,40003,39330,40003,-299,562,187.96,187.96,674.0
2024-04-26,2024-04-26,ueda,BOJ_MPM,現状維持、円安容認発言,-20.0,25,37628,37836,38460,37612,37934,208,98,-47.12,107.69,
2024-07-31,2024-07-31,ueda,BOJ_MPM,利上げ0.25%、国債買入減額,60.0,60,38468,38062,38798,38002,39101,-406,1039,255.91,181.28,-342.0
2024-09-20,2024-09-20,ueda,BOJ_MPM,現状維持0.25%,0.0,5,36380,37652,38239,37466,37723,1272,71,-5.58,14.62,
2024-10-31,2024-10-31,ueda,BOJ_MPM,現状維持、利上げ慎重姿勢,-15.0,10,39277,39081,39417,38832,39081,-196,0,-0.0,171.43,
2024-12-19,2024-12-19,ueda,BOJ_MPM,現状維持、追加利上げ示唆なし,-25.0,30,39364,39025,39245,38825,39013,-339,-12,-3.54,64.9,
2025-01-24,2025-01-24,ueda,BOJ_MPM,利上げ0.50%,45.0,35,39646,39931,40279,39658,39931,285,0,0.0,95.79,258.0
2025-03-14,2025-03-14,ueda,BOJ_MPM,現状維持0.50%,0.0,5,36790,37064,37269,36810,37053,274,-11,4.01,92.7,
2025-05-01,2025-05-01,ueda,BOJ_MPM,現状維持、関税影響見極め,-10.0,10,35839,36045,36445,35870,36452,206,407,-197.57,84.95,
2025-07-31,2025-07-31,ueda,BOJ_MPM,利上げ0.75%,40.0,25,38468,38268,38543,38072,38389,-200,121,60.5,137.5,-156.0
2025-10-31,2025-10-31,ueda,BOJ_MPM,現状維持0.75%,-5.0,10,38428,38225,38501,38055,38371,-203,146,71.92,135.96,
2026-01-24,2026-01-24,ueda,BOJ_MPM,利上げ1.00%,50.0,40,39105,39501,39812,39210,39702,396,201,-50.76,73.48,850.0
2025-02-01,2025-02-03,trump,TRUMP_TARIFF,メキシコ25%・カナダ25%・中国10%関税発表,,70,39572,38520,38721,38097,38220,-1052,-300,-28.52,19.11,-774.0
2025-02-04,2025-02-05,trump,TRUMP_TARIFF,メキシコ関税1ヶ月延期,,50,38220,38355,39191,38140,38798,135,443,-328.15,159.26,
2025-03-04,2025-03-05,trump,TRUMP_TARIFF,中国追加10%関税発動,,40,37785,37155,37414,36887,37055,-630,-100,-15.87,41.11,
2025-04-02,2025-04-03,trump,TRUMP_TARIFF,相互関税発表（日本24%含む）,,90,35725,34735,35212,33780,34535,-990,-200,-20.2,48.18,-1945.0
2025-04-09,2025-04-10,trump,TRUMP_TARIFF,90日間関税停止（中国除く）,,85,33780,33585,34609,31136,33012,-195,-573,-293.85,525.13,829.0
2025-05-12,2025-05-13,trump,TRUMP_TARIFF,米中関税115%→30%に引き下げ合意,,75,37230,38183,38495,37905,38383,953,200,-20.99,29.17,1372.0
2025-07-10,2025-07-11,trump,TRUMP_TARIFF,EU追加関税示唆,,35,40465,40021,40232,39755,39921,-444,-100,-22.52,47.52,
