event_date,reaction_date,speaker,gap_yen,surprise_score,max_reversion_pct,reversion_pct,result,pnl_per_point,contracts,gross_pnl,commission,net_pnl,capital
2024-01-31,2024-02-01,powell,221,20,104.98,27.15,WIN,66.3,2,13260.0,44,13216.0,113216.0
2024-03-20,2024-03-21,powell,811,10,49.32,-0.12,WIN,243.3,2,48660.0,44,48616.0,161832.0
2024-05-01,2024-05-02,powell,-131,15,189.31,-29.01,WIN,39.3,2,7860.0,44,7816.0,169648.0
2024-09-18,2024-09-19,powell,775,40,30.97,11.23,WIN,232.5,2,46500.0,44,46456.0,216104.0
2024-12-18,2024-12-19,powell,-551,50,42.11,-0.0,WIN,165.3,2,33060.0,44,33016.0,249120.0
2025-03-19,2025-03-20,powell,329,15,39.51,-24.01,WIN,98.7,2,19740.0,44,19696.0,268816.0
2025-05-07,2025-05-08,powell,-170,10,221.18,61.18,WIN,51.0,2,10200.0,44,10156.0,278972.0
2025-06-18,2025-06-19,powell,320,25,32.19,-64.38,WIN,96.0,2,19200.0,44,19156.0,298128.0
2025-09-17,2025-09-18,powell,368,15,49.46,-34.51,WIN,110.4,2,22080.0,44,22036.0,320164.0
2026-03-18,2026-03-19,powell,-970,55,20.62,20.21,PARTIAL_WIN,196.04,2,39207.4,44,39163.4,359327.4
2024-03-19,2024-03-19,ueda,-299,30,187.96,187.96,WIN,89.7,2,17940.0,44,17896.0,377223.4
2024-04-26,2024-04-26,ueda,208,25,107.69,-47.12,WIN,62.4,2,12480.0,44,12436.0,389659.4
2024-07-31,2024-07-31,ueda,-406,60,181.28,255.91,WIN,121.8,2,24360.0,44,24316.0,413975.4
2024-10-31,2024-10-31,ueda,-196,10,171.43,-0.0,WIN,58.8,2,11760.0,44,11716.0,425691.4
2024-12-19,2024-12-19,ueda,-339,30,64.9,-3.54,WIN,101.7,2,20340.0,44,20296.0,445987.4
2025-01-24,2025-01-24,ueda,285,35,95.79,0.0,WIN,85.5,2,17100.0,44,17056.0,463043.4
2025-05-01,2025-05-01,ueda,206,10,84.95,-197.57,WIN,61.8,2,12360.0,44,12316.0,475359.4
2025-07-31,2025-07-31,ueda,-200,25,137.5,60.5,WIN,60.0,2,12000.0,44,11956.0,487315.4
2025-10-31,2025-10-31,ueda,-203,10,135.96,71.92,WIN,60.9,2,12180.0,44,12136.0,499451.4
2026-01-24,2026-01-24,ueda,396,40,73.48,-50.76,WIN,118.8,2,23760.0,44,23716.0,523167.4
2025-02-01,2025-02-03,trump,-1052,70,19.11,-28.52,PARTIAL_LOSS,-300.03,2,-60006.08,44,-60050.08,463117.32
2025-02-04,2025-02-05,trump,135,50,159.26,-328.15,WIN,40.5,2,8100.0,44,8056.0,471173.32
2025-03-04,2025-03-05,trump,-630,40,41.11,-15.87,WIN,189.0,2,37800.0,44,37756.0,508929.32
2025-04-02,2025-04-03,trump,-990,90,48.18,-20.2,WIN,297.0,2,59400.0,44,59356.0,568285.32
2025-04-09,2025-04-10,trump,-195,85,525.13,-293.85,WIN,58.5,2,11700.0,44,11656.0,579941.32
2025-05-12,2025-05-13,trump,953,75,29.17,-20.99,PARTIAL_LOSS,-200.03,2,-40006.94,44,-40050.94,539890.38
2025-07-10,2025-07-11,trump,-444,35,47.52,-22.52,WIN,133.2,2,26640.0,44,26596.0,566486.38
